nombre,area_nombre,sector_nombre,subsector,diametro_copa,macizo,nombre_cientifico,familia_nombre,sinonimia,nombre_vulgar,especie_origen,endemica,nativa,region_fitogeografica,habito_crecimiento,ciclo_hoja,ciclo_especie
Científica,Jardin,Asia,C 120,1,FALSO,Abelia × grandiflora,Caprifoliaceae,,Abelia ,(híbrido),FALSO,FALSO,"s/d,",Arbusto,Perennifolia,Perenne
Científica,Jardin,Asia,C 120,2,FALSO,Abelia × grandiflora,Caprifoliaceae,,Abelia ,(híbrido),FALSO,FALSO,"s/d,",Arbusto,Perennifolia,Perenne
Científica,Jardin,Europa,C 110,2,VERDADERO,Abelia × grandiflora,Caprifoliaceae,,Abelia ,(híbrido),FALSO,FALSO,"s/d,",Arbusto,Perennifolia,Perenne
Científica,Jardin,Europa,C 110,2,VERDADERO,Abelia × grandiflora,Caprifoliaceae,,Abelia ,(híbrido),FALSO,FALSO,"s/d,",Arbusto,Perennifolia,Perenne
Científica,Jardin,América,C 118,1,FALSO,Abelia × grandiflora,Caprifoliaceae,,Abelia ,(híbrido),FALSO,FALSO,"s/d,",Arbusto,Perennifolia,Perenne
Científica,Jardin,Neutro,C 103,5,FALSO,Abies alba,Pinaceae,,Abeto blanco,Europa,FALSO,FALSO,"s/d,",Árbol,Perennifolia,Perenne
Científica,Jardin,Neutro,C 099,"1,5",VERDADERO,Abutilon grandifolium,Malvaceae,Abutilon molle Sweet,"Malvavisco grande, Malva del monte","Argentina, Brasil, Paraguay, Uruguay, Chile",FALSO,VERDADERO,"Espinal,Delta e Islas del Paraná,Selva Paranaense,Chaco Húmedo,Chaco Seco,Selva de las Yungas,",Arbusto,Perennifolia,Perenne
Científica,Jardin,América,C 125,1,FALSO,Abutilon megapotamicum,Malvaceae,"Abutilon inflatum Garcke & K.Schum., Callianthe megapotamica",farolito chino,"Brasil, Colombia",FALSO,FALSO,"s/d,",Arbusto,Perennifolia,Perenne
Científica,Jardin,Asia,C 120,2,FALSO,Abutilon pictum,Malvaceae,Abutilon thompsonii André,Farolito japonés,"Argentina, Bolivia, Brasil, Paraguay, Uruguay",FALSO,VERDADERO,"Selva Paranaense,",Arbusto,Caducifolia,Perenne
Científica,Jardin,Neutro,C 108,1,FALSO,Abutilon pictum,Malvaceae,Abutilon thompsonii André,Farolito japonés,"Argentina, Bolivia, Brasil, Paraguay, Uruguay",FALSO,VERDADERO,"Selva Paranaense,",Arbusto,Caducifolia,Perenne
Científica,Jardin,Asia,C 120,2,FALSO,Abutilon pictum,Malvaceae,Abutilon thompsonii André,Farolito japonés,"Argentina, Bolivia, Brasil, Paraguay, Uruguay",FALSO,VERDADERO,"Selva Paranaense,",Arbusto,Caducifolia,Perenne
Científica,Jardin,Neutro,C 099,2,FALSO,Abutilon pictum,Malvaceae,Abutilon thompsonii André,Farolito japonés,"Argentina, Bolivia, Brasil, Paraguay, Uruguay",FALSO,VERDADERO,"Selva Paranaense,",Arbusto,Caducifolia,Perenne
Científica,Jardin,Neutro,C 099,2,FALSO,Abutilon pictum,Malvaceae,Abutilon thompsonii André,Farolito japonés,"Argentina, Bolivia, Brasil, Paraguay, Uruguay",FALSO,VERDADERO,"Selva Paranaense,",Arbusto,Caducifolia,Perenne
